"stn","lon_o","lat_o","ele","lon_l","lat_l","dist","dii","yii","xii"
540,126.8917,37.6343,44.71,126.897,37.6327,0.00553624421427272,197341,386,221
541,127.1493,37.6528,27.79,127.142,37.6579,0.00890505474435719,198379,388,235
542,127.38016,37.68412,41.96,127.388,37.6826,0.00798598772851695,199417,390,249
543,126.54958,37.49901,25.79,126.547,37.4969,0.0033329416436616,192201,376,201
544,126.6534,37.2006,10.96,126.648,37.2059,0.00756637297521582,181455,355,207
545,126.85528,37.28111,5.92,126.858,37.2873,0.00676124988445953,184539,361,219
546,127.2614,37.4325,122.61,127.26,37.4352,0.00304138126514821,190194,372,242
547,127.75488,37.41593,108.62,127.747,37.4141,0.00808970333201541,189710,371,270
548,127.63955,37.26883,118.56,127.639,37.2637,0.00515939918982982,184072,360,264
549,127.2217861,37.27010833,79.36,127.222,37.2697,0.000460962687096882,184048,360,240
550,127.0487,37.188,41.75,127.047,37.1887,0.00183847763108267,180966,354,230
551,127.11237,36.99223,36.49,127.113,36.9945,0.00235580134986258,173802,340,234
552,127.4245,38.27218,238.38,127.418,38.2777,0.00852762569534425,221434,433,250
553,128.42865,38.50375,21.47,128.434,38.5081,0.0068952882463276,230707,451,307
554,128.43712,38.21439,770.48,128.44,38.2168,0.0037553295461271,219956,430,308
555,127.7026,38.0964,113,127.696,38.0933,0.00729177618966049,214794,420,266
556,127.98526,38.09798,188.88,127.978,38.1021,0.00834757449802251,215322,421,282
557,128.3186,37.9526,336.51,128.325,37.9562,0.00734302390026418,210222,411,302
558,127.7007,37.68614,93.49,127.703,37.6916,0.00592466032781773,199947,391,267
559,128.3973,37.778,574.54,128.406,37.7742,0.00949368210970152,203571,398,307
560,128.5645,37.6479,540.68,128.558,37.6459,0.00680073525438452,198972,389,316
561,128.15275,37.5822,222.02,128.154,37.5861,0.00409542427594619,196389,384,293
562,128.2695,37.2754,283,128.265,37.2793,0.00595482997239029,185132,362,300
563,128.6829,37.4634,358,128.69,37.4625,0.00715681493404159,192324,376,324
565,126.7784,37.3916,7,126.772,37.3848,0.00933809402394133,188118,368,214
566,128.8192341,37.85154804,8.36,128.812,37.8469,0.0085986323709795,206666,404,330
567,126.9318,37.95332,71.25,126.937,37.9508,0.00577844269678315,209119,409,223
568,127.31345,37.95867,162,127.306,37.9605,0.00767146661337354,209652,410,244
569,127.1569,37.5823,27.15,127.158,37.5886,0.00639531078213222,195820,383,236
570,126.6424,37.6232,33.72,126.635,37.6209,0.00774919350641353,196814,385,206
571,126.82012,37.1956,45.39,126.822,37.1908,0.00515503637232177,180953,354,217
572,127.12472,37.42094,28.65,127.121,37.423,0.00425229349880864,189674,371,234
573,127.7139,37.5565,120,127.716,37.553,0.00408166632639316,194828,381,268
574,127.5901,37.3694,40,127.59,37.3752,0.00580086200491002,188165,368,261
